Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_First Name_firstName""), ""JOKO"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:05,14-03-2025 13:20:06,1.093s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Last Name_lastName""), ""santoso"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:06,14-03-2025 13:20:06,0.497s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""jokofomo@gmail.com"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:06,14-03-2025 13:20:07,0.492s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Age_age""), ""17"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:07,14-03-2025 13:20:07,0.514s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Salary_salary""), ""1000000000"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:07,14-03-2025 13:20:08,0.524s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Department_department""), ""matahari dept store"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:08,14-03-2025 13:20:08,0.522s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:08,14-03-2025 13:20:09,0.266s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Add_searchBox""), ""joko"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:09,14-03-2025 13:20:09,0.717s,PASSED
,,,,,,,
Test Cases/POSITIVE - Open Link Home DemoQA,Chrome 134.0.6998.89,,,14-03-2025 13:20:09,14-03-2025 13:20:19,9.331s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,14-03-2025 13:20:09,14-03-2025 13:20:11,1.188s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:11,14-03-2025 13:20:11,0.736s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,14-03-2025 13:20:11,14-03-2025 13:20:16,4.362s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:16,14-03-2025 13:20:16,0.774s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Links""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:16,14-03-2025 13:20:18,1.484s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/a_Home""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:18,14-03-2025 13:20:19,0.733s,PASSED
,,,,,,,
Test Cases/POSITIVE - Click Button DemoQA,Chrome 134.0.6998.89,,,14-03-2025 13:20:19,14-03-2025 13:21:01,42.849s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,14-03-2025 13:20:19,14-03-2025 13:20:20,0.996s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.89,,,14-03-2025 13:20:20,14-03-2025 13:20:24,4.208s,PASSED
maximizeWindow(),Chrome 134.0.6998.89,,,14-03-2025 13:20:24,14-03-2025 13:20:24,0.531s,PASSED
delay(2),Chrome 134.0.6998.89,,,14-03-2025 13:20:24,14-03-2025 13:20:26,2.028s,PASSED
"click(findTestObject(""Page_DEMOQA/h5_Elements""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:26,14-03-2025 13:20:27,0.305s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Buttons""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:27,14-03-2025 13:20:28,1.513s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_DEMOQA/button_Double Click Me""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:28,14-03-2025 13:20:29,1.180s,PASSED
"rightClick(findTestObject(""Object Repository/Page_DEMOQA/button_Right Click Me""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:29,14-03-2025 13:20:30,0.552s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Click Me""))",Chrome 134.0.6998.89,,,14-03-2025 13:20:30,14-03-2025 13:21:01,31.492s,PASSED
